#ARTIST:Justin Bieber
#TITLE:Love Yourself
#MP3:Justin Bieber - Love Yourself.mp3
#AUTHOR:amro98
#GENRE:Pop
#YEAR:2015
#LANGUAGE:English
#BPM:200.04
#GAP:10406
#VIDEO:Justin Bieber - Love Yourself.mkv
: 2247 3 11 ~
: 2252 4 8 ~
: 2257 2 6 ~
: 2260 2 4 ~
: 2266 2 9 ~
: 2269 1 8 ~
: 2273 2 6 ~
: 2277 3 4 ~
: 2282 3 4 ~
- 2295
: 2305 1 4 For
: 2307 1 4  all
: 2309 1 6  the
: 2311 2 6  times
: 2314 3 8 ~
: 2319 2 8  that
: 2323 1 8  you
: 2325 2 6 ~
: 2328 5 6  made
: 2334 2 6  me
: 2337 2 8 ~
: 2341 2 4  feel
: 2345 7 4  small
- 2363
: 2367 1 4 I
: 2369 2 6  fell
: 2372 1 8  in
: 2374 2 8  love
: 2377 3 9 ~
: 2381 3 9  now
: 2385 1 6  I
: 2387 1 8 ~
: 2389 2 6  fear
: 2393 2 4  no
: 2398 3 6 thin'
* 2402 1 6  at
* 2404 1 8 ~
: 2406 6 6  all
- 2422
: 2431 1 4 I
: 2433 2 4  ne
: 2436 1 6 ver
: 2439 1 6  felt
: 2441 1 8 ~
: 2445 1 8  so
: 2447 1 11 ~
: 2449 4 6  low
: 2454 3 4  when
: 2458 1 4  I
: 2460 1 6 ~
: 2462 1 6  was
: 2464 1 8 ~
: 2466 1 6  vul
: 2468 1 4 ~
: 2470 7 4 ne
: 2478 2 4 rable
- 2491
: 2495 1 4 Was
: 2497 1 6  I
: 2499 1 8 ~
: 2501 1 8  a
: 2503 2 8  fool
: 2506 2 9 ~
: 2510 2 9  to
: 2514 1 6  let
: 2516 1 8 ~
: 2518 1 6  you
: 2520 1 4 ~
: 2522 3 4  break
: 2526 2 6  down
: 2530 1 6  my
: 2532 1 8 ~
: 2535 5 6  walls
: 2541 1 8 ~?
- 2554
: 2558 2 4 'Cause
: 2561 2 4  if
: 2565 1 6  you
: 2567 1 8 ~
: 2569 4 8  like
- 2579
: 2581 1 8 The
: 2583 1 6 ~
: 2585 4 6  way
- 2595
* 2597 2 4 You
: 2600 1 6  look
: 2602 1 8 ~
: 2605 3 8  that
: 2609 3 6 ~
: 2613 2 6  much
- 2619
: 2621 2 4 Oh
: 2625 3 4  ba
: 2629 3 6 by
: 2633 1 8  you
: 2637 2 4  should
: 2641 1 6  go
: 2643 2 8 ~
: 2646 2 4  and
: 2649 2 6  love
: 2653 4 4  your
: 2661 4 4 self
- 2675
: 2686 2 4 And
: 2689 2 4  if
: 2693 1 6  you
: 2695 1 8 ~
: 2697 4 8  think
- 2707
: 2709 1 8 That
: 2711 2 6 ~
: 2714 4 6  I'm
- 2723
: 2725 2 4 Still
: 2730 2 8  hol
: 2733 4 8 din'
: 2738 2 6 ~
: 2741 6 6  on
: 2748 1 4  to
* 2753 2 4  some
: 2756 3 6 thin'
- 2759
: 2760 1 6 You
: 2762 1 8 ~
: 2765 2 4  should
: 2769 1 6  go
: 2771 1 8 ~
: 2773 3 4  and
: 2777 2 6  love
: 2781 5 4  your
: 2789 1 4 self
: 2791 2 1 ~
- 2803
: 2814 2 4 'Cause
: 2817 2 4  if
: 2821 1 6  you
: 2823 1 8 ~
: 2825 4 8  like
- 2835
: 2837 1 8 The
: 2839 1 6 ~
: 2841 4 6  way
- 2851
: 2853 2 4 You
: 2856 1 6  look
: 2858 1 8 ~
: 2861 3 8  that
: 2865 3 6 ~
: 2869 2 6  much
- 2875
: 2877 2 4 Oh
: 2881 3 4  ba
: 2885 3 6 by
: 2889 1 8  you
: 2893 2 4  should
: 2897 1 6  go
: 2899 2 8 ~
* 2902 2 4  and
: 2905 2 6  love
: 2909 4 4  your
: 2917 4 4 self
- 2931
: 2942 2 4 And
: 2945 2 4  if
: 2949 1 6  you
: 2951 1 8 ~
: 2953 4 8  think
- 2963
: 2965 1 8 That
: 2967 2 6 ~
: 2970 4 6  I'm
- 2979
: 2981 2 4 Still
: 2986 2 8  hol
: 2989 4 8 din'
: 2994 2 6 ~
: 2997 6 6  on
: 3004 1 4  to
: 3009 2 4  some
: 3012 3 6 thin'
- 3015
: 3016 1 6 You
: 3018 1 8 ~
: 3021 2 4  should
: 3025 1 6  go
: 3027 1 8 ~
: 3029 3 4  and
: 3033 2 6  love
: 3037 5 4  your
: 3045 1 4 self
: 3047 2 1 ~
E
